Id;Lat;Lon;Country;State;LGA;Ward;Population;NESP_ID;Branch_id;Customers;Renewable energy share;Generator capacity (kw);PV size(kW);Battery capacity (kWh);Demand;Electr_type_phase_1;Electr_type_phase_2;Electr_type_phase_3;Distance_m
38487;9.96551443694272;9.60872676071736;Nigeria;Plateau;Kanam;GAGDIB;2705.838136;3820;311;511;68.4;132;140;296;188;none;mini-grid;intercon;29090
38493;8.81048836084996;9.64470125872004;Nigeria;Plateau;Riyom;RIYOM;2055.42335;3826;226;388;57.5;154;148;320;201;none;mini-grid;intercon;5540
38494;10.033661589979;9.65106870383458;Nigeria;Plateau;Kanam;GAGDIB;1391.24527;3827;0;262;70.7;63;78;168;99;mini-grid;mini-grid;mini-grid;41740
38496;9.06344308255028;9.66093586509124;Nigeria;Plateau;Barikin Ladi;TAFAN;3147.894939;3829;254;594;73.9;153;214;448;228;mini-grid;intercon;intercon;17730
38497;8.94613655036046;9.66771986060915;Nigeria;Plateau;Barikin Ladi;ZABOT;3516.744883;3830;246;664;71.1;273;374;864;343;none;grid;grid;3930
38498;9.15112173112582;9.67680328190122;Nigeria;Plateau;Mangu;KADUNU;2387.669864;3831;267;451;64;141;138;320;184;none;mini-grid;intercon;12970
38500;9.2438539610516;9.68366801223763;Nigeria;Plateau;Mangu;"KARDAM \""B\""";1477.197814;3833;267;279;60.7;82;84;176;120;none;none;grid;12120
38501;8.87283761829563;9.69258659096282;Nigeria;Plateau;Jos South;KURU \A\;1110.012842;3834;235;209;64.9;78;90;216;103;none;grid;grid;1630
38503;9.1500793047817;9.70672908113499;Nigeria;Plateau;Mangu;KADUNU;748.9624811;3836;267;141;73.3;52;84;192;67;none;mini-grid;intercon;16680
38504;8.98835688988981;9.71550547273904;Nigeria;Plateau;Barikin Ladi;ZABOT;6447.834894;3837;244;1217;62.5;378;390;800;519;mini-grid;mini-grid;intercon;7730
38509;9.05172990167537;9.72368531893018;Nigeria;Plateau;Jos East;FURSUM;1728.808133;3842;244;326;68.3;80;90;184;117;none;none;grid;14780
38510;9.06024215354632;9.75294256576783;Nigeria;Plateau;Jos East;FURSUM;5299.050336;3843;244;1000;68.4;410;468;1160;483;mini-grid;mini-grid;intercon;16830
38511;9.14469829459094;9.75688395437192;Nigeria;Plateau;Jos East;MAIJUJU;4429.014973;3844;244;836;78.1;345;444;1312;396;mini-grid;mini-grid;intercon;22670
38513;9.00672966936815;9.76967788328086;Nigeria;Plateau;Jos East;FURSUM;1759.780265;3846;244;332;65.9;110;112;248;139;none;mini-grid;intercon;11110
38514;8.79685625946074;9.7723723625236;Nigeria;Plateau;Jos South;GYEL \A\;1607.178456;3847;224;303;56.7;114;116;248;146;none;none;grid;4520
38515;8.81370259184375;9.7752007693125;Nigeria;Plateau;Jos South;GYEL \A\;2139.892803;3848;229;404;66;163;188;424;198;none;grid;grid;4630
38516;8.76389765519764;9.78177779907951;Nigeria;Plateau;Bassa;GYEL \A\;1661.23257;3849;181;313;71.7;78;84;208;111;none;grid;grid;5500
38519;8.78994271315369;9.81442427204162;Nigeria;Plateau;Bassa;GYEL \A\;5429.335563;3852;181;1024;67.5;327;308;904;446;none;grid;grid;2770
38521;8.74610594375546;9.80646007932191;Nigeria;Plateau;Bassa;GABIA;1407.824212;3854;181;266;67.4;63;74;144;96;none;grid;grid;6090
38524;9.24893727092451;9.84441450366541;Nigeria;Plateau;Jos East;ZANDI;4834.468346;3857;244;912;66.8;216;232;504;332;mini-grid;mini-grid;intercon;38520
38531;9.1335045855982;9.95591858421647;Nigeria;Plateau;Jos East;JARAWAN KOGI;1578.553638;3864;263;298;59.5;91;90;176;132;none;grid;grid;8320
38534;8.98649112141838;9.9735912654652;Nigeria;Plateau;Jos East;SHERE WEST;862.0076637;3867;243;163;69.2;51;56;136;66;none;grid;grid;11140
38535;8.96481097735638;9.98418034458425;Nigeria;Plateau;Jos North;NARAGUTA \B\;2798.580538;3868;243;528;64.3;219;232;544;265;none;grid;grid;8270
38538;8.91368601350595;10.0001826639242;Nigeria;Plateau;Jos North;NARAGUTA \B\;1664.048219;3871;241;314;58.1;116;134;248;163;none;grid;grid;2930
38539;9.00383616898954;10.0041058520206;Nigeria;Plateau;Jos North;SHERE EAST;3201.392259;3872;243;604;68.8;155;164;360;227;none;grid;grid;11430
38541;8.70043078158709;10.0095815319404;Nigeria;Plateau;Bassa;KISHIKA;1678.126461;3874;247;317;68.2;144;176;392;158;mini-grid;intercon;intercon;9960
38544;9.19273862747443;10.0186089113354;Nigeria;Plateau;Jos East;MAI GEMU;1731.623781;3877;244;327;67;82;82;176;113;none;none;grid;21970
38550;8.65179652550344;10.1225306467;Nigeria;Plateau;Bassa;GARU;2431.050011;3883;247;459;66.9;150;162;336;193;none;grid;grid;19740
38552;8.95914753647223;10.1389805629222;Nigeria;Plateau;Bassa;ZABOLO;1695.26413;3885;239;320;80;134;156;608;167;none;mini-grid;intercon;8900
38555;8.69853815367411;10.1803803650266;Nigeria;Plateau;Bassa;KASURU;2936.721307;3888;280;554;70;134;140;320;192;none;grid;grid;9070
38557;8.72822373208913;10.1910240438698;Nigeria;Plateau;Bassa;KASURU;6202.873481;3890;280;1170;68.7;308;296;648;413;mini-grid;intercon;intercon;5360
38576;8.57011696365557;9.50706570938628;Nigeria;Plateau;Riyom;GIDAN WAYA;1492.293665;3909;180;282;79.7;75;74;240;99;none;none;grid;20520
38586;9.56338404953556;8.42748812789516;Nigeria;Plateau;Shendam;AZARA;2970.509088;3919;292;560;71.3;139;142;336;207;none;mini-grid;intercon;42850
38588;9.50999324363468;8.42345044687635;Nigeria;Plateau;Shendam;WUSE;2914.19612;3921;292;550;82.4;139;158;464;191;none;mini-grid;intercon;63590
38590;9.09089131463453;8.9431315491277;Nigeria;Plateau;'Qua''an Pan';DOEMAK-GOECHIM;2525.636637;3923;261;477;76.3;124;158;432;179;mini-grid;mini-grid;intercon;18490
38602;8.97804145322872;9.47768019100335;Nigeria;Plateau;Barikin Ladi;MARIT/MAZAT;2094.842428;3935;252;395;70.9;96;104;232;142;none;grid;grid;4780
38605;8.95259657764757;9.60463301892329;Nigeria;Plateau;Barikin Ladi;RAFAN;2919.827417;3938;248;551;67.5;131;140;296;194;none;grid;grid;2730
38608;9.02250884828706;9.55185061502211;Nigeria;Plateau;Barikin Ladi;RAFAN;2396.116809;3941;256;452;68.7;112;126;256;160;none;none;grid;4630
38611;9.07271793312676;9.62620293900356;Nigeria;Plateau;Barikin Ladi;TAFAN;5710.135006;3944;254;1077;70.7;265;318;712;376;mini-grid;intercon;intercon;15260
38612;9.0975882305497;9.59891999796393;Nigeria;Plateau;Barikin Ladi;TAFAN;13230.73195;3945;254;2496;75.8;637;708;1760;882;mini-grid;intercon;intercon;10450
38613;9.07094051990581;9.58360132419708;Nigeria;Plateau;Barikin Ladi;TAFAN;1604.919602;3946;254;303;75;80;86;216;111;none;grid;grid;9860
38615;9.10970156502168;9.61732235853124;Nigeria;Plateau;Barikin Ladi;TAFAN;5327.20682;3948;254;1005;65.3;269;274;568;374;mini-grid;intercon;intercon;14210
38616;9.00040636916836;9.61178922369192;Nigeria;Plateau;Barikin Ladi;TAFAN;2601.659145;3949;254;491;63.5;159;156;336;202;none;grid;grid;8600
38617;8.97066163193435;9.61676067688212;Nigeria;Plateau;Barikin Ladi;TAFAN;4671.160737;3950;248;881;67.1;221;224;480;321;mini-grid;intercon;intercon;5400
38619;8.97864031014545;9.73626833439737;Nigeria;Plateau;Barikin Ladi;ZABOT;3361.884219;3952;244;634;70.7;154;174;376;213;none;mini-grid;intercon;5730
38620;8.96175440974947;9.75841442947527;Nigeria;Plateau;Barikin Ladi;ZABOT;1407.824212;3953;244;266;71.4;63;70;168;91;none;none;grid;5990
38632;8.76201718952147;10.2700933621233;Nigeria;Plateau;Bassa;JENGRE;1982.216491;3965;223;374;67;99;94;208;138;none;none;grid;5560
38637;8.75758410942698;10.1727461454974;Nigeria;Plateau;Bassa;KADAMO;1588.025711;3970;280;300;71.1;72;76;192;111;none;grid;grid;3490
38638;8.70081009783757;9.97152725514017;Nigeria;Plateau;Bassa;KAKKEK;8945.315047;3971;247;1688;70.1;413;480;968;618;mini-grid;intercon;intercon;6300
38639;8.7212997344854;9.96295293706888;Nigeria;Plateau;Bassa;KAKKEK;2666.419058;3972;247;503;65.2;152;172;368;227;none;grid;grid;3540
38640;8.7411448245889;9.91722475977979;Nigeria;Plateau;Bassa;KAKKEK;2624.184332;3973;220;495;65.1;144;168;360;202;none;grid;grid;4300
38642;8.71691893634125;10.2006718921467;Nigeria;Plateau;Bassa;KASURU;2035.713811;3975;280;384;72.4;97;98;264;133;none;grid;grid;6830
38648;8.68588179640942;10.0431503936036;Nigeria;Plateau;Bassa;KISHIKA;2683.312949;3981;247;506;69.5;124;134;296;183;none;grid;grid;14250
38649;8.66938168636521;10.105422416473;Nigeria;Plateau;Bassa;KISHIKA;2902.933526;3982;247;548;79.8;139;140;512;193;none;grid;grid;18020
38651;8.66989484740078;10.0755931555548;Nigeria;Plateau;Bassa;KISHIKA;2086.395483;3984;247;394;70.3;95;106;232;140;none;grid;grid;19530
38653;8.71398860645709;10.0585727226195;Nigeria;Plateau;Bassa;MAFARA;2677.681652;3986;247;505;69.3;126;132;288;180;none;grid;grid;14310
38654;8.68558827630087;10.0934425217197;Nigeria;Plateau;Bassa;MAFARA;2745.257214;3987;247;518;67.9;124;128;280;185;none;grid;grid;18350
38656;8.84568145494554;10.3490106227243;Nigeria;Plateau;Bassa;RIMI;1216.360119;3989;228;230;69.8;59;56;136;81;none;none;grid;4770
38657;8.83790258310892;10.31865301113;Nigeria;Plateau;Bassa;RIMI;2241.256146;3990;231;423;68.7;100;108;232;157;none;grid;grid;2710
38658;8.80648181695408;10.3710787407868;Nigeria;Plateau;Bassa;RIMI;1531.712743;3991;228;289;48.6;85;58;144;132;none;none;grid;5860
38665;9.02950034005851;9.31477937461302;Nigeria;Plateau;Bokkos;BOKKOS;1424.718103;3998;255;269;70.6;90;138;272;123;none;none;grid;4160
38668;9.04919754202182;9.29277453441865;Nigeria;Plateau;Bokkos;BOKKOS;1407.824212;4001;259;266;72.7;63;70;168;98;none;grid;grid;10740
38674;8.87514956388113;9.38664128078343;Nigeria;Plateau;Barikin Ladi;BUTURA;4651.451198;4007;232;878;70.4;212;228;520;319;mini-grid;intercon;intercon;8820
38679;8.81873579044686;9.20930339348262;Nigeria;Plateau;Bokkos;DAFFO;841.8788791;4012;230;159;50.5;56;60;80;78;none;mini-grid;intercon;22260
38680;8.81460059888769;9.06262841997464;Nigeria;Plateau;Bokkos;DAMWAI;3294.308657;4013;227;622;79.3;157;216;536;230;mini-grid;mini-grid;intercon;44560
38683;9.03606733577783;9.38150973276867;Nigeria;Plateau;Bokkos;KWATAS;1689.389055;4016;251;319;76;74;90;216;127;none;grid;grid;10790
38684;9.02810022144495;9.42918393664599;Nigeria;Plateau;Mangu;KWATAS;2745.257214;4017;252;518;71;127;140;312;187;mini-grid;intercon;intercon;8960
38685;9.00870753534946;9.36451565214953;Nigeria;Plateau;Bokkos;KWATAS;2567.871363;4018;251;485;68.3;115;126;280;198;none;grid;grid;7170
38688;8.98949166553297;9.38522334503178;Nigeria;Plateau;Bokkos;KWATAS;1664.048219;4021;251;314;68.7;77;84;184;116;none;grid;grid;4770
38691;8.87407191439653;9.3357294125258;Nigeria;Plateau;Bokkos;MANGOR;2128.630209;4024;232;402;72.9;95;116;264;158;none;grid;grid;13060
38696;8.95250155960109;9.22826554361787;Nigeria;Plateau;Bokkos;MBAR/MANGAR;1221.991416;4029;230;231;68.3;92;112;264;116;none;mini-grid;intercon;10850
38697;8.91395064550257;9.2601510896594;Nigeria;Plateau;Bokkos;MBAR/MANGAR;2159.602342;4030;230;407;70.1;113;140;304;153;mini-grid;mini-grid;intercon;9800
38701;8.81550303581544;9.32149232106725;Nigeria;Plateau;Bokkos;MANGUNA;934.7952772;4034;230;176;65.3;54;64;128;72;none;none;grid;18470
38702;8.75527588321247;9.34559743822056;Nigeria;Plateau;Barikin Ladi;MANGUNA;957.3204646;4035;192;181;44.6;52;56;32;72;none;mini-grid;intercon;8930
38705;8.71344794666528;9.26897816465206;Nigeria;Plateau;Bokkos;MANGUNA;1216.360119;4038;192;230;70.3;58;70;152;83;mini-grid;mini-grid;intercon;17940
38706;9.06192741071771;9.20070548601908;Nigeria;Plateau;Bokkos;MUSHERE CENTRAL;1596.472657;4039;227;301;73.6;103;144;368;131;mini-grid;mini-grid;intercon;14060
38707;9.05552794812009;9.17310125709554;Nigeria;Plateau;Bokkos;MUSHERE CENTRAL;1275.488736;4040;227;241;73.1;61;68;168;89;none;none;grid;17150
38711;9.00694886965187;9.13838236752949;Nigeria;Plateau;Bokkos;MUSHERE  WEST;2491.848856;4044;227;470;76;111;138;336;184;none;mini-grid;intercon;19580
38712;9.00411731199543;9.17263904224278;Nigeria;Plateau;Bokkos;MUSHERE  WEST;2263.781333;4045;227;427;69.6;100;120;264;160;none;mini-grid;intercon;15470
38714;8.99955427801534;9.15110364824861;Nigeria;Plateau;Bokkos;MUSHERE  WEST;1160.047151;4047;227;219;67.9;54;58;120;77;none;none;grid;17720
38717;8.9005059534287;9.13958054465637;Nigeria;Plateau;Bokkos;RICHA;2376.40727;4050;227;448;77.6;124;190;376;166;mini-grid;mini-grid;intercon;28750
38722;9.02198209537822;9.2397481571091;Nigeria;Plateau;Bokkos;TANGUR;2249.703091;4055;227;424;66.1;105;112;224;163;none;mini-grid;intercon;6880
38723;9.00564221871035;9.27055054667731;Nigeria;Plateau;Bokkos;TANGUR;1740.070726;4056;227;328;64.4;97;112;232;134;none;none;grid;2950
38725;9.08965071527106;9.28494359346368;Nigeria;Plateau;Bokkos;TANGUR;1478.215423;4058;259;279;70.2;79;112;216;111;mini-grid;intercon;intercon;11930
38729;8.79411561912339;9.10052876479631;Nigeria;Plateau;Bokkos;TOFF;2993.034276;4062;227;565;71.9;151;160;352;209;none;mini-grid;intercon;36750
38731;8.8007884053969;9.12631411981587;Nigeria;Plateau;Bokkos;TOFF;1053.052511;4064;0;199;68.9;59;66;168;94;none;mini-grid;mini-grid;32830
38736;9.13174660090694;9.84027334443747;Nigeria;Plateau;Jos East;FEDERE;2083.579834;4069;260;393;67.3;95;100;216;138;none;grid;grid;8020
38737;9.07694397951776;9.84784655953985;Nigeria;Plateau;Jos East;FEDERE;2857.883151;4070;260;539;70.4;129;146;336;201;none;grid;grid;2050
38742;9.07208878370413;9.700972160664;Nigeria;Plateau;Barikin Ladi;FURSUM;965.7674098;4075;244;182;69.7;50;50;112;68;none;none;grid;18300
38744;9.10907644175926;9.9933578778509;Nigeria;Plateau;Jos East;JARAWAN KOGI;4355.808114;4077;263;822;63.7;271;300;608;352;mini-grid;intercon;intercon;8960
38745;9.13191799347691;9.9322343201817;Nigeria;Plateau;Jos East;JARAWAN KOGI;1233.25401;4078;263;233;64.9;72;74;168;96;none;grid;grid;4280
38750;9.23724758984987;9.95132967190637;Nigeria;Plateau;Jos East;MAI GEMU;2049.792053;4083;244;387;66.2;97;100;208;139;none;mini-grid;intercon;32300
38751;9.20786614066921;10.0091613771295;Nigeria;Plateau;Jos East;MAI GEMU;1407.824212;4084;244;266;68.4;64;74;152;95;none;none;grid;23360
38753;9.08751405569143;9.75946154602858;Nigeria;Plateau;Jos East;MAIJUJU;4854.177885;4086;244;916;72.2;243;244;608;321;mini-grid;mini-grid;intercon;19940
38761;9.23297205827683;9.91261496407375;Nigeria;Plateau;Jos East;ZANDI;1599.288305;4094;244;302;65.9;71;78;160;109;none;none;grid;36380
38762;9.24193924281379;9.888332961065;Nigeria;Plateau;Jos East;ZANDI;1464.137181;4095;244;276;74.6;74;80;208;103;none;none;grid;39300
38767;8.92918297759008;9.96385324099617;Nigeria;Plateau;Jos North;NARAGUTA \B\;6475.991378;4100;243;1222;63.5;474;574;1168;635;none;grid;grid;3420
38768;8.89653378047239;9.73689678536312;Nigeria;Plateau;Jos South;DU;2379.222919;4101;240;449;62.4;138;138;280;185;none;grid;grid;2890
38773;8.74631314955242;9.65443709610447;Nigeria;Plateau;Riyom;VWANG;3111.29151;4106;221;587;71.1;138;144;376;242;none;grid;grid;2510
38775;8.70444888491279;9.68973746034451;Nigeria;Plateau;Riyom;VWANG;1210.728822;4108;302;228;72.8;56;66;144;87;none;none;grid;3800
38778;8.73492056351259;9.71788422914688;Nigeria;Plateau;Jos South;VWANG;3525.191828;4111;214;665;62.7;263;300;616;320;none;grid;grid;3280
38779;8.71000879519625;9.66752631967447;Nigeria;Plateau;Jos South;VWANG;1393.74597;4112;302;263;63.4;65;56;128;97;none;none;grid;6720
38780;9.88701151347625;9.36481460147898;Nigeria;Plateau;Kanam;DENGI;1399.377267;4113;211;264;71.3;67;68;168;94;none;grid;grid;2310
38786;9.79210051157135;9.46814190007371;Nigeria;Plateau;Kanke;GAGDIB;4823.205752;4119;185;910;68.5;243;224;512;311;mini-grid;mini-grid;intercon;16280
38787;9.86655073961862;9.59217840042442;Nigeria;Plateau;Kanam;GAGDIB;1458.505884;4120;311;275;72.3;68;72;184;95;none;none;grid;34240
38789;9.82250364395179;9.52322295749742;Nigeria;Plateau;Kanam;GAGDIB;1604.919602;4122;311;303;73.2;74;80;208;109;none;none;grid;23530
38792;9.81393669661368;9.33351939170362;Nigeria;Plateau;Kanam;GUMSHER;2576.318309;4125;195;486;73.7;113;144;312;180;none;grid;grid;1490
38793;9.79488429938573;9.32298894412664;Nigeria;Plateau;Kanam;GUMSHER;1267.041791;4126;193;239;75.7;56;74;160;83;none;grid;grid;2600
38794;9.8253569719472;9.30397633369266;Nigeria;Plateau;Langtang North;GUMSHER;1267.041791;4127;191;239;72.5;57;64;160;86;none;none;grid;6660
38795;9.84527283097896;9.35597806950149;Nigeria;Plateau;Kanam;GUMSHER;1402.192915;4128;202;265;68.9;64;68;152;90;none;grid;grid;1090
38798;9.78831005311081;9.41939932577921;Nigeria;Plateau;Kanke;GWAMLAR;3091.581971;4131;185;583;67.2;184;190;464;247;none;mini-grid;intercon;9700
38799;9.86761536448418;9.43093285459059;Nigeria;Plateau;Kanam;GWAMLAR;1863.959257;4132;201;352;67.8;84;92;200;127;none;none;grid;11010
38800;9.85619198627905;9.39547210901166;Nigeria;Plateau;Kanam;GWAMLAR;1221.991416;4133;201;231;92.6;55;80;288;77;none;none;grid;6610
38802;9.63730496826083;9.43143794889323;Nigeria;Plateau;Kanke;KABWIR/GYANGYANG;1126.25937;4135;301;213;70.2;60;88;184;83;none;none;grid;4330
38803;9.81102152167757;9.39119380142233;Nigeria;Plateau;Kanam;GWAMLAR;1596.472657;4136;185;301;77;73;82;232;121;none;none;grid;5460
38804;9.80746147775087;9.41746797568178;Nigeria;Plateau;Kanam;GWAMLAR;1582.394415;4137;185;299;71.3;69;74;200;103;none;none;grid;9970
38805;9.90255305247253;9.4272309875987;Nigeria;Plateau;Kanam;GWAMLAR;1295.198275;4138;201;244;70.8;61;68;152;86;none;none;grid;9730
38807;10.0272217431961;9.31013750735985;Nigeria;Plateau;Wase;JARMAI;1438.796345;4140;218;271;71.4;75;108;224;105;none;mini-grid;intercon;10820
38808;9.95366275685963;9.56022090286486;Nigeria;Plateau;Kanam;KANAM;1317.723463;4141;0;249;75.1;60;74;176;92;none;mini-grid;mini-grid;23520
38811;9.96015923376543;9.59430610390134;Nigeria;Plateau;Kanam;KANAM;1148.784557;4144;0;217;71.9;52;58;136;79;none;none;mini-grid;27470
38814;10.0326698921805;9.39359093005749;Nigeria;Plateau;Kanam;KANAM;2404.563755;4147;218;454;71;104;116;288;160;none;mini-grid;intercon;8940
38821;9.98753995194326;9.24729541798497;Nigeria;Plateau;Kanam;KUNKYAM;1368.405134;4154;217;258;69;62;70;144;90;none;none;grid;5870
38825;9.9081840356768;9.30711582719688;Nigeria;Plateau;Kanam;NAMARAN;1407.824212;4158;212;266;68.9;67;76;144;94;none;none;grid;5310
38826;9.92458613720397;9.30329885681894;Nigeria;Plateau;Kanam;NAMARAN;2365.144677;4159;212;446;67.8;105;118;240;166;none;none;grid;7440
38830;9.55381474671578;9.3461205163389;Nigeria;Plateau;Kanke;AMPANG-EAST;1951.244358;4163;297;368;75.4;101;134;320;140;none;none;grid;4840
38835;9.69565376198388;9.34046049544731;Nigeria;Plateau;Kanke;AMPER CHIKA \A\;2055.42335;4168;310;388;68.6;92;104;208;134;none;grid;grid;2190
38838;9.7361086883989;9.2827572855162;Nigeria;Plateau;Kanke;AMPER CHIKA \B\;1126.25937;4171;312;213;71.6;55;56;128;77;none;none;grid;3220
38839;9.71024532244464;9.2587935329882;Nigeria;Plateau;Kanke;AMPER CHIKA \B\;2353.882083;4172;312;444;71.9;118;158;320;162;mini-grid;mini-grid;intercon;7590
38847;9.51651800009256;9.23012310037341;Nigeria;Plateau;Pankshin;GARRAM;2168.049287;4180;293;409;75.8;104;114;280;146;none;mini-grid;intercon;16660
38851;9.50691601491124;9.19858238166192;Nigeria;Plateau;Pankshin;GARRAM;2446.798481;4184;293;462;74.2;117;164;360;165;mini-grid;mini-grid;intercon;20460
38854;9.59667704140668;9.38618011184493;Nigeria;Plateau;Kanke;KABWIR PADA;1680.942109;4187;300;317;69.4;77;84;184;119;none;grid;grid;810
38856;9.62323954655931;9.40077497824455;Nigeria;Plateau;Kanke;KABWIR PADA;788.381559;4189;303;149;64.7;56;72;160;65;none;none;grid;3690
38858;9.66986753512412;9.43525187517972;Nigeria;Plateau;Kanke;KABWIR/GYANGYANG;1548.606633;4191;301;292;71.1;75;80;176;108;none;none;grid;9420
38862;9.52375785602432;9.45772458667065;Nigeria;Plateau;Kanke;NEMEL;3378.77811;4195;296;638;79.7;163;168;672;232;none;grid;grid;4620
38867;9.81697708605155;9.2504480203512;Nigeria;Plateau;Langtang North;JAT;1323.354759;4200;196;250;76.6;56;70;184;92;none;grid;grid;2660
38868;9.83111048548648;9.26670656381758;Nigeria;Plateau;Langtang North;JAT;1548.606633;4201;196;292;69.2;67;76;168;114;none;grid;grid;4970
38870;9.84742917391199;9.17451115751079;Nigeria;Plateau;Langtang North;KELLER;4355.808114;4203;205;822;70.7;195;224;496;284;none;grid;grid;3850
38872;9.86579111814686;9.21543135387472;Nigeria;Plateau;Langtang North;KELLER;1314.907814;4205;208;248;79.7;67;102;288;94;none;grid;grid;2830
38876;9.77506246233632;9.1050749539564;Nigeria;Plateau;Langtang North;KUFFEN;2798.754534;4209;305;528;66.5;125;136;272;196;none;none;grid;2460
38887;9.85149746774994;8.90744786757342;Nigeria;Plateau;Langtang North;NYER;1188.203635;4220;197;224;67.5;55;58;120;79;none;none;grid;3340
38889;9.80981304845185;8.89357231011813;Nigeria;Plateau;Langtang North;NYER;2018.81992;4222;197;381;69.3;98;100;240;145;none;none;grid;6260
38890;9.81463114663134;8.8708933680677;Nigeria;Plateau;Langtang North;NYER;1469.768478;4223;197;277;73.7;69;76;184;98;none;none;grid;9100
38893;9.8714518297934;8.9328953281312;Nigeria;Plateau;Langtang North;NYER;1914.640929;4226;207;361;66;85;92;184;128;none;grid;grid;3220
38894;9.76741287468787;9.17073869230462;Nigeria;Plateau;Langtang North;PAJAT;2134.261506;4227;187;403;67.5;99;110;216;139;none;grid;grid;3370
38895;9.87791502608324;9.2288462847571;Nigeria;Plateau;Langtang North;PIL GANI;2094.842428;4228;199;395;69.2;98;104;224;143;none;grid;grid;4440
38896;9.91670357476802;9.09005802810088;Nigeria;Plateau;Langtang North;PISHE/YASHI;1751.33332;4229;213;330;65.9;83;86;176;116;none;none;grid;5190
38898;9.86445982139179;9.23563037436872;Nigeria;Plateau;Langtang North;REAK;1230.438361;4231;199;232;73.6;65;94;224;90;none;grid;grid;5400
38902;9.72426685831142;9.19790270080599;Nigeria;Plateau;Langtang North;WAROH;3970.064279;4235;309;749;71.8;191;248;512;264;mini-grid;intercon;intercon;9680
38903;9.72349937522946;9.21848182498926;Nigeria;Plateau;Langtang North;WAROH;1382.483376;4236;309;261;69.5;62;72;144;92;none;grid;grid;7390
38904;9.73169801456731;9.23485326701123;Nigeria;Plateau;Langtang North;WAROH;1900.562687;4237;309;359;67.8;88;106;184;132;none;grid;grid;5440
38906;9.7491778808632;9.24129630129973;Nigeria;Plateau;Langtang North;WAROH;1588.025711;4239;309;300;70.1;76;84;176;105;none;grid;grid;3010
38908;9.86517411524805;8.5849748373082;Nigeria;Plateau;Langtang South;GAMAKAI;3111.29151;4241;188;587;68;155;152;328;211;none;mini-grid;intercon;22640
38909;9.87148446674955;8.81163738723056;Nigeria;Plateau;Langtang North;LASHEL;2443.982833;4242;189;461;75.7;112;126;352;169;none;mini-grid;intercon;15640
38911;9.86610540332757;8.86168060958178;Nigeria;Plateau;Langtang North;LASHEL;1579.578766;4244;197;298;72.3;74;86;176;119;none;none;grid;11710
38912;9.74835027308845;8.39390748692924;Nigeria;Plateau;Langtang South;MAGAMA;3829.281858;4245;292;723;71.5;180;194;448;254;none;mini-grid;intercon;43170
38914;9.69003970622624;8.709309910193;Nigeria;Plateau;Langtang South;SABON GIDA;1900.562687;4247;308;359;68.6;94;92;200;131;none;none;grid;5630
38916;9.79440863801508;8.54235524862476;Nigeria;Plateau;Langtang South;TIMBOL;1267.041791;4249;188;239;75.3;59;66;168;88;none;none;grid;26670
38917;9.67656537264966;8.64576810582708;Nigeria;Plateau;Langtang South;TURAKI;2353.882083;4250;292;444;71.1;123;158;320;170;none;mini-grid;intercon;13840
38918;9.19180810398952;9.28405920064802;Nigeria;Plateau;Mangu;AMPANG WEST;1300.829572;4251;271;245;90.1;59;78;328;87;none;grid;grid;670
38919;9.21604851773316;9.29255477217468;Nigeria;Plateau;Mangu;AMPANG WEST;1968.138249;4252;272;371;80.2;105;120;288;139;none;mini-grid;intercon;6180
38921;9.13786380570722;9.27296512978865;Nigeria;Plateau;Mangu;AMPANG WEST;1055.868159;4254;264;199;70;56;88;168;75;none;none;grid;4780
38927;9.26202639429143;9.57901247042571;Nigeria;Plateau;Mangu;CHANSO;1756.964617;4260;275;332;71.2;86;134;248;128;none;grid;grid;3560
38928;9.28665576049658;9.55920422125587;Nigeria;Plateau;Pankshin;CHANSO;1295.198275;4261;275;244;68.2;61;68;136;90;none;grid;grid;7320
38930;9.29429754729792;9.59780497122377;Nigeria;Plateau;Mangu;CHANSO;2579.133957;4263;275;487;66.4;148;168;360;194;none;grid;grid;7590
38937;9.26508216919125;9.52848107756204;Nigeria;Plateau;Mangu;JANNARET;1298.013924;4270;275;245;73.2;61;72;160;90;none;grid;grid;9450
38941;9.2265663650609;9.0703902282898;Nigeria;Plateau;Mangu;JIPAL/CHAKFEM;1495.109313;4274;274;282;67.8;67;70;160;107;none;grid;grid;10150
38942;9.25540499321704;9.18102685266034;Nigeria;Plateau;Mangu;JIPAL/CHAKFEM;1568.316172;4275;276;296;68.9;82;110;224;113;none;mini-grid;intercon;7950
38943;9.23962640672559;9.16695228572354;Nigeria;Plateau;Mangu;JIPAL/CHAKFEM;1292.382627;4276;276;244;68.3;59;70;136;86;none;none;grid;6030
38957;9.10094633675866;9.69462063322102;Nigeria;Plateau;Mangu;KADUNU;1492.293665;4290;254;282;70.9;79;104;240;110;none;grid;grid;24090
38959;9.13917686217863;9.34976225681723;Nigeria;Plateau;Mangu;KERANG;1252.963549;4292;259;236;71.1;56;64;144;86;none;grid;grid;7860
38960;9.11911106338269;9.30854449729724;Nigeria;Plateau;Bokkos;KERANG;2241.256146;4293;259;423;74.9;108;110;328;148;none;grid;grid;9930
38961;9.1651287734882;9.33128941136121;Nigeria;Plateau;Mangu;KERANG;1751.33332;4294;259;330;71.6;81;88;208;126;none;grid;grid;3370
