,power,Wind,GridAvailability,SolarGen
51,75.0,0.835,1,0.0
52,75.0,0.836,1,0.0
53,84.0,0.8220000000000001,1,0.0
54,84.0,0.797,1,0.0
55,98.0,0.7829999999999999,1,0.136
56,112.0,0.83,1,0.387
57,121.5,0.856,1,0.581
58,131.5,0.8490000000000001,0,0.701
59,114.0,0.84,0,0.758
60,93.0,0.8290000000000001,1,0.754
61,92.0,0.8170000000000001,1,0.7
62,152.0,0.8079999999999999,0,0.586
63,408.0,0.8009999999999999,1,0.402
64,428.0,0.7829999999999999,1,0.165
65,182.0,0.75,1,0.003
66,168.0,0.7240000000000001,1,0.0
67,559.0,0.713,1,0.0
68,194.0,0.705,1,0.0
69,134.0,0.6970000000000001,0,0.0
70,114.0,0.674,1,0.0
71,99.0,0.64,1,0.0
72,87.0,0.605,1,0.0
73,103.0,0.575,1,0.0
74,88.5,0.5539999999999999,1,0.0
75,75.0,0.5329999999999999,0,0.0
76,75.0,0.515,0,0.0
77,78.0,0.45899999999999996,0,0.0
78,81.0,0.413,1,0.0
79,98.0,0.391,1,0.126
80,504.5,0.49,1,0.36700000000000005
81,93.0,0.541,0,0.5539999999999999
82,105.0,0.521,1,0.672
83,142.0,0.49200000000000005,1,0.733
84,161.0,0.465,1,0.7340000000000001
85,126.0,0.44299999999999995,0,0.6759999999999999
86,660.0,0.428,1,0.563
87,411.0,0.41,1,0.39
88,136.0,0.38,1,0.155
89,139.0,0.35,1,0.001
90,182.0,0.341,1,0.0
91,443.0,0.315,0,0.0
92,240.5,0.294,1,0.0
93,139.5,0.271,1,0.0
94,93.0,0.264,1,0.0
95,96.0,0.26,1,0.0
96,75.0,0.26,0,0.0
97,83.0,0.263,1,0.0
98,81.0,0.265,1,0.0
99,78.0,0.271,1,0.0
100,81.0,0.275,1,0.0
101,81.0,0.268,0,0.0
102,96.0,0.262,1,0.0
103,100.5,0.256,0,0.10400000000000001
104,127.0,0.335,1,0.33899999999999997
105,137.0,0.395,1,0.575
106,140.0,0.409,1,0.6970000000000001
107,108.0,0.425,1,0.757
108,139.0,0.451,1,0.7659999999999999
109,172.0,0.48200000000000004,0,0.7170000000000001
110,669.5,0.513,1,0.607
111,390.5,0.52,1,0.43700000000000006
112,141.5,0.475,0,0.196
113,144.5,0.389,1,0.005
114,153.0,0.342,0,0.0
115,381.0,0.318,1,0.0
116,379.0,0.284,0,0.0
117,131.0,0.257,1,0.0
118,108.0,0.243,1,0.0
119,105.0,0.28800000000000003,1,0.0
120,90.0,0.307,1,0.0
121,87.0,0.307,1,0.0
122,81.0,0.298,0,0.0
123,75.0,0.315,1,0.0
124,81.0,0.302,1,0.0
125,78.0,0.29100000000000004,1,0.0
126,84.0,0.27399999999999997,1,0.0
127,340.0,0.235,0,0.155
128,593.0,0.249,1,0.41200000000000003
129,87.0,0.267,1,0.604
130,90.0,0.256,1,0.7240000000000001
131,107.0,0.253,0,0.7829999999999999
132,124.5,0.262,1,0.782
133,143.5,0.285,0,0.732
134,171.0,0.326,1,0.624
135,223.0,0.36700000000000005,1,0.44299999999999995
136,247.0,0.386,0,0.201
137,157.0,0.40299999999999997,1,0.005
138,165.5,0.408,1,0.0
139,590.5,0.40399999999999997,1,0.0
140,428.0,0.391,0,0.0
141,136.5,0.382,1,0.0
142,102.0,0.374,1,0.0
143,73.5,0.377,1,0.0
144,75.0,0.397,1,0.0
145,80.0,0.39899999999999997,0,0.0
146,83.5,0.40399999999999997,1,0.0
147,81.0,0.40399999999999997,1,0.0
148,75.0,0.395,1,0.0
149,78.0,0.39299999999999996,1,0.0
150,81.0,0.391,1,0.0
151,96.0,0.379,1,0.10800000000000001
152,111.0,0.419,1,0.386
153,120.0,0.461,1,0.545
154,123.0,0.511,0,0.622
155,101.5,0.57,0,0.6629999999999999
156,94.0,0.616,0,0.731
157,75.0,0.638,1,0.674
158,347.5,0.652,1,0.521
159,629.5,0.654,0,0.34299999999999997
160,353.5,0.639,1,0.154
161,180.5,0.584,1,0.003
162,146.0,0.527,1,0.0
163,541.5,0.507,1,0.0
164,160.0,0.494,0,0.0
165,313.5,0.498,1,0.0
166,105.0,0.493,1,0.0
167,108.0,0.498,1,0.0
