,power,Wind,GridAvailability,SolarGen
33,2.0,0.9620000000000001,0,0.5
34,2.0,0.968,1,0.654
35,0.0,0.973,0,0.725
36,16.5,0.972,0,0.726
37,18.0,0.965,1,0.674
38,18.0,0.9540000000000001,0,0.563
39,3.0,0.943,0,0.38799999999999996
40,12.0,0.924,1,0.16399999999999998
41,12.0,0.889,1,0.004
42,13.0,0.847,1,0.0
43,13.0,0.82,0,0.0
44,7.5,0.807,1,0.0
45,6.0,0.8029999999999999,1,0.0
46,8.0,0.797,1,0.0
47,0.0,0.8,1,0.0
48,0.0,0.82,0,0.0
49,0.0,0.8270000000000001,1,0.0
50,0.0,0.8320000000000001,0,0.0
51,0.0,0.835,1,0.0
52,0.0,0.836,1,0.0
53,0.0,0.8220000000000001,0,0.0
54,6.0,0.797,0,0.0
55,8.0,0.7829999999999999,1,0.054000000000000006
56,7.0,0.83,1,0.172
57,1.5,0.856,1,0.317
58,0.0,0.8490000000000001,1,0.47700000000000004
59,1.5,0.84,1,0.57
60,10.5,0.8290000000000001,0,0.5770000000000001
61,15.0,0.8170000000000001,1,0.5329999999999999
62,0.0,0.8079999999999999,1,0.494
63,1.5,0.8009999999999999,1,0.373
64,6.0,0.7829999999999999,1,0.16899999999999998
65,16.5,0.75,1,0.005
66,19.0,0.7240000000000001,1,0.0
67,16.0,0.713,1,0.0
68,7.5,0.705,1,0.0
69,13.5,0.6970000000000001,1,0.0
70,8.0,0.674,1,0.0
71,0.0,0.64,1,0.0
72,2.0,0.605,0,0.0
73,2.0,0.575,1,0.0
74,0.0,0.5539999999999999,1,0.0
75,0.0,0.5329999999999999,1,0.0
76,0.0,0.515,1,0.0
77,0.0,0.45899999999999996,0,0.0
78,5.0,0.413,1,0.0
79,8.0,0.391,1,0.095
80,7.0,0.49,1,0.355
81,0.0,0.541,1,0.593
82,1.5,0.521,0,0.716
83,3.0,0.49200000000000005,1,0.767
84,7.5,0.465,0,0.75
85,15.0,0.44299999999999995,1,0.711
